[6.545562 6.578127 6.598259 6.611793 6.620824 6.627929 6.632822 6.635938
 6.637497 6.665555 6.788229 6.883235 6.945669 6.982725 7.006799 7.026355
 7.041143 7.04711  7.050681 7.055675 7.060797 7.061353 7.060859 7.060241
 7.076326 7.167101 7.250918 7.307251 7.339084 7.360412 7.378453 7.389699
 7.398036 7.404516 7.407793 7.411073 7.416164 7.415092 7.413149 7.417036
 7.415963 7.419651 7.416164 7.416902 7.417907 7.415963 7.436858 7.574926
 7.701945 7.77411  7.826317 7.866153 7.890544 7.912073 7.929727 7.937077
 7.947747 7.955803 7.995984 8.039033 8.074584 8.099129 8.129107 8.179902
 8.174775 8.173671 8.135985 8.172568 8.185271 8.197452 8.281075 8.229074
 8.33102  8.35336  8.337858 8.21761  8.31802  8.40428  8.413368 8.4498
 8.567582 8.509196 8.502796 8.527005 8.529543 8.539111 8.544199 8.548612
 8.577221 8.627325 8.651693 8.69518  8.739294 8.650827 8.800326 8.854681
 8.737357 8.764189 8.730406 8.741408 8.747668 8.795072 8.763481 8.866755
 8.914871 8.907412 8.917693 8.896698 8.903142 8.891892 8.900146 8.948928
 8.954243 8.957545 8.946639 8.950394 9.035531 9.126839 9.203348 9.262469
 9.306172 9.336938 9.363921 9.381817 9.397981 9.41001  9.41698  9.420967
 9.432845 9.434843 9.442645 9.449956 9.45838  9.533639 9.621439 9.702513
 9.761098 9.801933 9.8393   9.873884 9.889847 9.910186 9.933965 9.934944
 9.945944 9.93821  9.961771 9.948997 9.958821 9.901956 9.808961 9.732522
 9.678698 9.634873 9.597334 9.572509 9.53903  9.528455 9.516582 9.50281
 9.494725 9.489677 9.485945 9.47748  9.479092 9.400961 9.293679 9.218623
 9.156631 9.113324 9.081981 9.050629 9.032926 9.013983 8.979792 8.999818
 8.978779 8.978686 8.951127 8.954151 8.941605 8.957453 8.956903 8.960665
 8.955435 8.945082 8.94371  8.951952 8.959655 8.994735 8.966727 8.946913
 8.94902  8.882384 8.800415 8.766933 8.708909 8.661749 8.637162 8.615527
 8.601097 8.575087 8.578416 8.572442 8.567496 8.560853 8.563748 8.557705
 8.556855 8.552179 8.547933 8.51223  8.474681 8.442227 8.420402 8.404693
 8.391502 8.38007  8.37539  8.368828 8.363913 8.362602 8.353932 8.318669
 8.273992 8.245121 8.22517  8.211649 8.202999 8.186614 8.18614  8.179271
 8.177693 8.170362 8.170677 8.165954 8.168866 8.158091 8.120289 8.081231
 8.048395 8.029229 8.015323 8.002675 8.012349 7.996212 7.986267 7.97975
 7.979826 7.979068 7.973695 7.973015 7.970444 7.969764 7.980356 7.97309
 7.926206 7.88423  7.854779 7.835639 7.827564 7.812407 7.802402 7.801673
 7.794312 7.788489 7.787835 7.786599 7.780568 7.739579 7.696951 7.669434
 7.650827 7.634195 7.628922 7.622111 7.613279 7.606981 7.6074   7.603765
 7.597341 7.552621 7.511213 7.48629  7.467808 7.449536 7.441574 7.429187
 7.423812 7.429591 7.42388  7.420456 7.427843 7.42341  7.422671 7.420322
 7.41536  7.413819 7.369887 7.330331 7.303787 7.281951 7.267605 7.260353
 7.25796  7.247691 7.243242 7.24176  7.250272 7.244467 7.243693 7.238605
 7.234744 7.191801 7.142982 7.120877 7.103375 7.093406 7.081536 7.071556
 7.070566 7.069638 7.072423 7.057464 6.939725 6.832766 6.768386 6.727165
 6.70037  6.680785 6.670045 6.661239 6.655248 6.650384 6.648261 6.644186
 6.646084 6.641788 6.639614 6.636439 6.641119 6.645526 6.641398 6.58131 ]
